3.72, N ,1,100,100,30/04/2018,921
3.72, N ,1,100,100,12/04/2016,5000000
3.72, N ,1,100,100,12/04/2016,2000000
4.04, N ,3,100,100,06/12/2019,1285716
4.04, N ,3,100,100,06/12/2019,1285716
4.04, N ,3,100,100,06/12/2019,3428568
4.54, N ,3,100,100,12/04/2018,5371234
4.02, N ,1,100,100,25/05/2018,2840509
5.29, N ,3,100,100,16/04/2018,1504945
5.29, N ,3,100,100,16/04/2018,482168
5.29, N ,3,100,100,16/04/2018,617490
5.29, N ,3,100,100,16/04/2018,162002
2.64, N ,1,100,100,31/12/2016,5046
2.64, N ,1,100,100,31/12/2016,494954
3.27, N ,1,100,100,31/10/2016,5046
3.27, N ,1,100,100,31/10/2016,494954
5.22, N ,1,100,100,30/04/2017,12054
5.22, N ,1,100,100,30/04/2017,1477970
2.22, N ,1,100,100,31/12/2015,5152
2.22, N ,1,100,100,31/12/2015,683913
2.34, N ,1,100,100,26/10/2014,2320596
2.34, N ,1,100,100,26/10/2014,100000
2.34, N ,1,100,100,26/10/2014,1000000
4.02, N ,1,100,100,25/05/2018,3505309
4.22, N ,1,100,100,24/03/2018,5218547
4.22, N ,1,100,100,24/03/2018,1000000
4.22, N ,1,100,100,24/03/2018,2000000
4.22, N ,1,100,100,24/03/2018,3000000
4.97, N ,1,100,100,29/03/2019,7000000
4.97, N ,1,100,100,29/03/2019,5398527
3.82, N ,1,100,100,29/07/2020,1976507
3.82, N ,1,100,100,29/07/2020,3830426
3.82, N ,1,100,100,29/07/2020,217718
3.82, N ,1,100,100,29/07/2020,152920
3.82, N ,1,100,100,29/07/2020,37591
3.82, N ,1,100,100,29/07/2020,53520
3.82, N ,1,100,100,29/07/2020,941608
3.82, N ,1,100,100,29/07/2020,485872
3.82, N ,1,100,100,29/07/2020,259852
3.82, N ,1,100,100,29/07/2020,503586
3.82, N ,1,100,100,29/07/2020,28623
3.82, N ,1,100,100,29/07/2020,20104
4.02, N ,1,100,100,25/05/2018,3626182
4.72, N ,1,100,100,26/03/2017,1425648
4.72, N ,1,100,100,26/03/2017,526760
4.72, N ,1,100,100,26/03/2017,1000000
5.22, N ,1,100,100,26/03/2018,1429229
5.22, N ,1,100,100,26/03/2018,552608
5.22, N ,1,100,100,26/03/2018,1000000
3.72, N ,1,100,100,27/06/2017,1497526
3.72, N ,1,100,100,27/06/2017,608488
3.72, N ,1,100,100,10/07/2017,5983840
3.72, N ,1,100,100,10/07/2017,8866160
3.79, N ,3,100,100,30/04/2020,10506927
3.79, N ,3,100,100,30/04/2020,581056
3.79, N ,3,100,100,30/04/2020,16892
3.79, N ,3,100,100,30/04/2020,1135852
3.29, N ,2,100,100,01/09/2017,900000
3.47, N ,1,100,100,04/05/2018,1965487
3.47, N ,1,100,100,04/05/2018,3716193
3.47, N ,1,100,100,03/07/2019,42773
3.47, N ,1,100,100,03/07/2019,28515
3.47, N ,1,100,100,03/07/2019,1292081
3.47, N ,1,100,100,03/07/2019,1938122
3.47, N ,1,100,100,03/07/2019,104763
3.47, N ,1,100,100,03/07/2019,69842
3.47, N ,1,100,100,03/07/2019,418283
3.47, N ,1,100,100,03/07/2019,627424
4.97, N ,1,100,100,31/03/2017,145883
4.97, N ,1,100,100,31/03/2017,431725
4.97, N ,1,100,100,31/03/2017,6583501
4.97, N ,1,100,100,31/03/2017,920199
4.97, N ,1,100,100,31/03/2017,510043
4.97, N ,1,100,100,31/03/2017,11220
4.97, N ,1,100,100,31/03/2017,3543
4.97, N ,1,100,100,31/03/2017,42785
4.97, N ,1,100,100,31/03/2017,71924
4.97, N ,1,100,100,31/03/2017,86518
3.47, N ,1,100,100,01/08/2020,2367750
3.47, N ,1,100,100,01/08/2020,2367750
5.63, N ,6,100,100,31/12/2016,333217
3.22, N ,1,100,100,29/01/2016,2725322
3.22, N ,1,100,100,29/01/2016,55620
3.22, N ,1,100,100,29/01/2016,2043991
3.22, N ,1,100,100,29/01/2016,3674998
3.22, N ,1,100,100,29/01/2016,75002
3.22, N ,1,100,100,29/01/2016,41715
3.22, N ,1,100,100,29/01/2016,2043991
3.22, N ,1,100,100,29/01/2016,3674998
3.22, N ,1,100,100,29/01/2016,75002
3.22, N ,1,100,100,29/01/2016,41715
4.47, N ,1,100,100,25/07/2018,5000000
4.47, N ,1,100,100,25/07/2018,3000000
4.47, N ,1,100,100,25/07/2018,2500000
4.22, N ,1,100,100,29/06/2017,1832023
4.22, N ,1,100,100,29/06/2017,2486586
5.63, N ,6,100,100,31/12/2016,23071
3.09, N ,1,100,100,30/06/2016,6061020
4.97, N ,1,100,100,27/01/2017,629730
4.97, N ,1,100,100,27/01/2017,467792
4.97, N ,1,100,100,27/01/2017,1902478
5.63, N ,6,100,100,31/12/2016,571830
4.47, N ,1,100,100,27/01/2017,304394
4.47, N ,1,100,100,27/01/2017,45389
5.63, N ,6,100,100,31/12/2016,150157
4.97, N ,1,100,100,27/01/2017,1687049
4.97, N ,1,100,100,27/01/2017,1591297
4.97, N ,1,100,100,27/01/2017,382093
5.63, N ,6,100,100,31/12/2016,54910
5.63, N ,6,100,100,31/12/2016,125150
5.63, N ,6,100,100,31/12/2016,32863
3.84, N ,1,100,100,31/07/2019,2100000
3.72, N ,1,100,100,31/12/2018,4000000
5.63, N ,6,100,100,31/12/2016,19963
4.97, N ,1,100,100,30/08/2018,894455
4.97, N ,1,100,100,30/08/2018,1431129
4.97, N ,1,100,100,30/08/2018,2510752
4.97, N ,1,100,100,30/08/2018,1569220
2.22, N ,1,100,100,16/04/2015,220378
2.22, N ,1,100,100,16/04/2015,289344
2.72, N ,1,100,100,15/04/2016,289344
2.72, N ,1,100,100,15/04/2016,93477
2.72, N ,1,100,100,15/04/2016,131982
4.03, N ,6,100,100,31/12/2016,3138044
5.63, N ,6,100,100,31/12/2016,361643
5.63, N ,6,100,100,31/12/2016,1247190
5.63, N ,6,100,100,31/12/2016,2540227
5.63, N ,6,100,100,31/12/2016,151886
5.63, N ,6,100,100,31/12/2016,20414
4.97, N ,1,100,100,31/10/2017,3929827
5.97, N ,1,100,100,17/07/2019,493534
5.97, N ,1,100,100,17/07/2019,493534
5.97, N ,1,100,100,17/07/2019,987068
5.97, N ,1,100,100,17/07/2019,3012932
5.97, N ,1,100,100,17/07/2019,1506466
5.97, N ,1,100,100,17/07/2019,1506466
2.22, N ,1,100,100,16/04/2015,412604
2.22, N ,1,100,100,16/04/2015,606771
2.72, N ,1,100,100,15/04/2016,606771
2.72, N ,1,100,100,15/04/2016,168962
2.72, N ,1,100,100,15/04/2016,238561
1.97, N ,1,100,100,16/04/2014,134014
1.97, N ,1,100,100,16/04/2014,240064
1.97, N ,1,100,100,16/04/2014,14421
1.97, N ,1,100,100,16/04/2014,8050
1.97, N ,1,100,100,16/04/2014,211050
1.97, N ,1,100,100,16/04/2014,265825
4.97, N ,1,100,100,29/12/2017,2012842
4.97, N ,1,100,100,29/12/2017,1740870
5.22, N ,1,100,100,31/12/2018,3000000
4.97, N ,1,100,100,29/12/2017,156311
4.97, N ,1,100,100,29/12/2017,3194036
4.97, N ,1,100,100,29/12/2017,2395941
3.47, N ,1,100,100,01/06/2017,2940000
4.22, N ,1,100,100,24/03/2021,768200
